taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
blautia	genus	decreased	0.0	0.0	0.0	1.418474	0.0	0.905581	0.0	1.0	-1.0	True	increased
faecalibacterium	genus	decreased	0.0	0.0	0.0	6.104647	0.0	1.93397	0.0	1.0	-1.0	True	decreased
subdoligranulum	genus	decreased	0.0	0.0	0.0	1.444249	0.0	0.89481	0.0	0.996	-0.996	True	decreased
bacteroides	genus	decreased	0.0	0.0	0.0	9.103893	0.0	2.31066	0.0	0.992	-0.992	True	decreased
lachnoclostridium	genus	decreased	0.0	0.0	0.0	0.569123	0.0	0.476487	0.0	0.988	-0.988	True	increased
roseburia	genus	decreased	0.0	0.0	0.0	1.632744	0.0	0.957465	0.0	0.988	-0.988	True	decreased
agathobacter	genus	decreased	0.0	0.0	0.0	0.760537	0.0	0.601289	0.0	0.984	-0.984	False	
akkermansia	genus	decreased	0.0	0.0	0.0	0.326418	0.0	0.442371	0.0	0.984	-0.984	True	decreased
anaerostipes	genus	decreased	0.0	0.0	0.0	0.585622	0.0	0.51501	0.0	0.984	-0.984	True	decreased
collinsella	genus	decreased	0.0	0.0	0.0	0.32602	0.0	0.3724	0.0	0.984	-0.984	True	increased
parabacteroides	genus	decreased	0.0	0.0	0.0	0.752763	0.0	0.587454	0.0	0.984	-0.984	True	decreased
alistipes	genus	decreased	0.0	0.0	0.0	1.124385	0.0	0.779753	0.0	0.98	-0.98	True	decreased
butyricicoccus	genus	decreased	0.0	0.0	0.0	0.277617	0.0	0.260132	0.0	0.98	-0.98	True	increased
dorea	genus	decreased	0.0	0.0	0.0	0.359504	0.0	0.319094	0.0	0.98	-0.98	True	increased
fusicatenibacter	genus	decreased	0.0	0.0	0.0	0.605352	0.0	0.481886	0.0	0.98	-0.98	True	decreased
oscillibacter	genus	decreased	0.0	0.0	0.0	0.228321	0.0	0.217464	0.0	0.98	-0.98	True	decreased
