taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
5-7n15	genus	increased	0.0	0.0	0.101627	0.0	0.161011	0.0	1.0	0.0	1.0	False	
cf231	genus	increased	0.0	0.0	0.028701	0.0	0.044289	0.0	1.0	0.0	1.0	False	
smb53	genus	increased	0.0	0.0	0.226911	0.0	0.354406	0.0	1.0	0.0	1.0	False	
prevotella melaninogenica	species	increased	0.0	0.0	0.325889	0.0	0.539985	0.0	1.0	0.0	1.0	False	
blautia producta	species	increased	0.0	0.0	0.135134	0.0	0.162131	6.7e-05	1.0	0.008	0.999837	False	
shuttleworthia satelles	species	increased	0.0	0.0	0.015489	0.0	0.030589	0.0	0.979592	0.0	0.979592	False	
gw-34	genus	increased	0.0	0.0	0.006662	0.0	0.013417	0.0	0.979592	0.0	0.979592	False	
bacteroides eggerthii	species	increased	0.0	0.0	0.025958	0.0	0.076361	5.2e-05	0.979592	0.004	0.976571	False	
veillonella dispar	species	increased	0.0	0.0	0.014426	0.0	0.029915	0.0	0.969388	0.0	0.969388	True	decreased
veillonella parvula	species	increased	0.0	0.0	0.012489	0.0	0.029161	0.0	0.969388	0.0	0.969388	False	
yrc22	genus	increased	0.0	0.0	0.006009	0.0	0.009588	0.0	0.969388	0.0	0.969388	False	
ruminococcus flavefaciens	species	increased	0.0	0.0	0.04438	0.0	0.05971	0.0	0.959184	0.0	0.959184	False	
bf311	genus	increased	0.0	0.0	0.004053	0.0	0.00549	0.0	0.959184	0.0	0.959184	False	
blvii28	genus	increased	0.0	0.0	0.010998	0.0	0.019372	0.0	0.959184	0.0	0.959184	False	
prevotella stercorea	species	increased	0.0	0.0	0.0467	0.0	0.311844	0.000146	0.979592	0.024	0.97151	False	
bacteroides uniformis	species	increased	0.0	0.0	0.776805	0.0	0.795003	0.000333	1.0	0.056	0.999673	True	decreased
lachnobacterium	genus	increased	0.0	0.0	0.017408	0.0	0.047891	0.0	0.928571	0.0	0.928571	False	
blautia obeum	species	increased	0.0	0.0	0.013543	0.0	0.026215	0.000174	0.959184	0.016	0.947755	False	
coprococcus eutactus	species	increased	0.0	0.0	0.022067	0.0	0.066445	0.0	0.918367	0.0	0.918367	True	decreased
ruminococcus gnavus	species	increased	0.0	0.0	0.377804	0.0	0.363087	0.000819	1.0	0.072	0.99902	False	
marvinbryantia formatexigens	species	increased	0.0	0.0	0.004479	0.0	0.012914	5.5e-05	0.938776	0.012	0.929388	False	
methylibium	genus	increased	0.0	0.0	0.004067	0.0	0.005746	0.0	0.908163	0.0	0.908163	False	
bacteroides ovatus	species	increased	0.0	0.0	0.097899	0.0	0.289705	0.00109	1.0	0.06	0.980163	False	
bacteroides coprophilus	species	increased	0.0	0.0	0.003805	0.0	0.11925	4.4e-05	0.918367	0.008	0.909959	False	
erwinia	genus	increased	0.0	0.0	0.007326	0.0	0.033569	0.0	0.897959	0.0	0.897959	False	
bacteroides fragilis	species	increased	0.0	0.0	0.015703	0.0	0.139265	0.000226	0.959184	0.032	0.93951	False	
ramlibacter	genus	increased	0.0	0.0	0.003821	0.0	0.006778	0.0	0.887755	0.0	0.887755	False	
sporomusa	genus	increased	0.0	0.0	0.017263	0.0	0.023759	7e-05	0.908163	0.012	0.902571	False	
syntrophococcus sucromutans	species	increased	0.0	0.0	0.003085	0.0	0.005334	0.0	0.877551	0.004	0.877061	False	
oscillospira guilliermondii	species	increased	0.0	0.0	0.002209	0.0	0.003942	0.0	0.867347	0.0	0.867347	False	
citrobacter	genus	increased	0.0	0.0	0.008492	0.0	0.037792	0.0	0.867347	0.0	0.867347	False	
bacteroides acidifaciens	species	increased	0.0	0.0	0.005492	0.0	0.014324	9.4e-05	0.928571	0.032	0.911429	False	
dechloromonas	genus	increased	0.0	0.0	0.003008	0.0	0.006478	3.4e-05	0.877551	0.004	0.872	False	
bacteroides caccae	species	increased	0.0	0.0	0.03098	0.0	0.088804	0.000517	0.94898	0.048	0.922694	False	
pelosinus	genus	increased	0.0	0.0	0.009594	0.0	0.020573	0.000273	0.918367	0.024	0.897224	False	
bacteroides barnesiae	species	increased	0.0	0.0	0.002164	0.0	0.013863	0.0	0.846939	0.0	0.846939	False	
clostridium difficile	species	increased	0.0	0.0	0.005688	0.0	0.022703	0.0	0.846939	0.0	0.846939	False	
prevotella copri	species	increased	0.0	0.0	12.519506	0.0	2.609889	0.007216	1.0	0.164	0.997959	False	
coprobacillus cateniformis	species	increased	0.0	0.0	0.002687	0.0	0.011208	0.0	0.836735	0.0	0.836735	False	
staphylococcus aureus	species	increased	0.0	0.0	0.001768	0.0	0.002694	0.0	0.836735	0.0	0.836735	False	
